Ex-Date,Dividend
15.06.2020,26.26
02.12.2019,27.47
16.09.2019,26.72
17.06.2019,35.43
06.05.2019,32.08
03.12.2018,44.39
24.09.2018,45.94
18.06.2018,27.72
18.06.2018,38.32
04.12.2017,35.61
25.09.2017,22.28
19.06.2017,24.44
19.06.2017,27.73
12.12.2016,24.96
15.09.2016,19.66
04.07.2016,8.25
04.07.2016,20.27
18.12.2015,13.17
25.09.2015,12.63
04.06.2015,12.81
04.06.2015,14.65
24.11.2014,54.46
19.09.2014,2.14
20.06.2014,2.43
20.06.2014,3.83
30.10.2013,2.01
13.08.2013,2.03
29.04.2013,0.43
29.04.2013,1.89
12.11.2012,3.18
13.08.2012,1.52
16.05.2012,3.56
16.05.2012,4.07
19.01.2012,0.537
16.11.2011,3.36
25.08.2011,4.37
23.05.2011,3.9
23.05.2011,2.42
15.11.2010,4.29
17.11.2008,7.17
21.08.2008,18.35
16.05.2008,5.2
16.05.2008,4
15.11.2007,2.5
21.08.2007,10
21.05.2007,2.6
28.04.2007,5
17.11.2006,2
13.11.2006,1
07.08.2006,3.6
19.04.2006,4
08.02.2006,1
20.10.2005,3
