Date,PX_LAST
05.03.2020,830
04.03.2020,827
03.03.2020,820.4
02.03.2020,810.6
28.02.2020,814.6
27.02.2020,865.4
26.02.2020,886.4
25.02.2020,890
21.02.2020,908
20.02.2020,915.8
19.02.2020,914
18.02.2020,914.6
17.02.2020,924.6
14.02.2020,928
13.02.2020,926
12.02.2020,938
11.02.2020,923.4
10.02.2020,922
07.02.2020,935.4
06.02.2020,925
05.02.2020,923.4
04.02.2020,912.4
03.02.2020,904.2
31.01.2020,911.4
30.01.2020,931
29.01.2020,941.2
28.01.2020,938.6
27.01.2020,930
24.01.2020,956.2
23.01.2020,962
22.01.2020,959.2
21.01.2020,978.6
20.01.2020,990.6
17.01.2020,977.2
16.01.2020,963.4
15.01.2020,960.2
14.01.2020,967.8
13.01.2020,960.2
10.01.2020,937.4
09.01.2020,928.2
08.01.2020,927.2
06.01.2020,929
03.01.2020,945.8
30.12.2019,937.6
27.12.2019,938.2
26.12.2019,929.4
25.12.2019,926.2
24.12.2019,927.4
23.12.2019,930
20.12.2019,926.4
19.12.2019,928.4
18.12.2019,928.6
17.12.2019,930
16.12.2019,923
13.12.2019,918.4
12.12.2019,901
11.12.2019,896.6
10.12.2019,888.8
09.12.2019,891.6
06.12.2019,883
05.12.2019,880.8
04.12.2019,875.4
03.12.2019,874.6
02.12.2019,885
29.11.2019,908
28.11.2019,907.8
27.11.2019,911.2
26.11.2019,909.6
25.11.2019,917
22.11.2019,901.8
21.11.2019,895.6
20.11.2019,903
19.11.2019,904.6
18.11.2019,884
15.11.2019,881.4
14.11.2019,880.8
13.11.2019,889.8
12.11.2019,900
11.11.2019,895
08.11.2019,909.6
07.11.2019,931.2
06.11.2019,923.6
05.11.2019,914
01.11.2019,893.2
31.10.2019,882.2
30.10.2019,895
29.10.2019,903.4
28.10.2019,886
25.10.2019,878.4
24.10.2019,877.2
23.10.2019,876
22.10.2019,878
21.10.2019,871
18.10.2019,881
17.10.2019,894
16.10.2019,887
15.10.2019,871.4
14.10.2019,881
11.10.2019,893.4
10.10.2019,894
09.10.2019,873
08.10.2019,878.8
07.10.2019,880
04.10.2019,876.8
03.10.2019,882.2
02.10.2019,901.6
01.10.2019,923.8
30.09.2019,933.2
27.09.2019,944.4
26.09.2019,950.8
25.09.2019,945
24.09.2019,942.2
23.09.2019,954.6
20.09.2019,965
19.09.2019,967
18.09.2019,986.8
17.09.2019,998.8
16.09.2019,1000
13.09.2019,1014
12.09.2019,1018.6
11.09.2019,1022
10.09.2019,1005
09.09.2019,998.2
06.09.2019,992.8
05.09.2019,1001.6
04.09.2019,986.6
03.09.2019,990.6
02.09.2019,1003
30.08.2019,1002.8
29.08.2019,979
28.08.2019,958.8
27.08.2019,953
26.08.2019,947
23.08.2019,946
22.08.2019,944
21.08.2019,954.2
20.08.2019,957.4
19.08.2019,946
16.08.2019,928.4
15.08.2019,943
14.08.2019,947.4
13.08.2019,954
12.08.2019,969.6
09.08.2019,970.6
