Date,PX_LAST
05.03.2020,198
04.03.2020,200
03.03.2020,201.48
02.03.2020,198.78
28.02.2020,202.65
27.02.2020,217.5
26.02.2020,224.76
25.02.2020,224.68
21.02.2020,232
20.02.2020,234.6
19.02.2020,231.9
18.02.2020,230.5
17.02.2020,233.75
14.02.2020,232.5
13.02.2020,233.55
12.02.2020,238.03
11.02.2020,233.9
10.02.2020,225.2
07.02.2020,229.11
06.02.2020,231.38
05.02.2020,232.56
04.02.2020,230.5
03.02.2020,227.64
31.01.2020,226.7
30.01.2020,231.53
29.01.2020,232
28.01.2020,235
27.01.2020,230.96
24.01.2020,237.95
23.01.2020,239.3
22.01.2020,248.1
21.01.2020,252.99
20.01.2020,253.5
17.01.2020,255.39
16.01.2020,254.26
15.01.2020,251.3
14.01.2020,250
13.01.2020,251.5
10.01.2020,251.9
09.01.2020,254.07
08.01.2020,255.79
06.01.2020,256.55
03.01.2020,259
30.12.2019,256.4
27.12.2019,257.11
26.12.2019,254.1
25.12.2019,253.25
24.12.2019,254.87
23.12.2019,255
20.12.2019,255.5
19.12.2019,251.4
18.12.2019,251.29
17.12.2019,252.05
16.12.2019,250.78
13.12.2019,249.5
12.12.2019,250.48
11.12.2019,247.34
10.12.2019,246.9
09.12.2019,248.7
06.12.2019,247.83
05.12.2019,246.36
04.12.2019,248.93
03.12.2019,247.93
02.12.2019,254.05
29.11.2019,257.54
28.11.2019,254
27.11.2019,253.89
26.11.2019,254
25.11.2019,255.2
22.11.2019,251.99
21.11.2019,254.35
20.11.2019,248
19.11.2019,248.01
18.11.2019,246.15
15.11.2019,248.01
14.11.2019,248.34
13.11.2019,251.8
12.11.2019,257.25
11.11.2019,260.4
08.11.2019,266
07.11.2019,270.74
06.11.2019,266.98
05.11.2019,263
01.11.2019,263.79
31.10.2019,260
30.10.2019,261.6
29.10.2019,253.1
28.10.2019,244.4
25.10.2019,246.71
24.10.2019,243.94
23.10.2019,236.2
22.10.2019,235.36
21.10.2019,228.54
18.10.2019,228
17.10.2019,228
16.10.2019,227.7
15.10.2019,226
14.10.2019,226
11.10.2019,227.37
10.10.2019,224.5
09.10.2019,223.18
08.10.2019,223.2
07.10.2019,226.36
04.10.2019,221.66
03.10.2019,223.1
02.10.2019,223.6
01.10.2019,226.49
30.09.2019,225.9
27.09.2019,229.01
26.09.2019,231.97
25.09.2019,228.43
24.09.2019,227.7
23.09.2019,230.36
20.09.2019,230.41
19.09.2019,230.52
18.09.2019,233.46
17.09.2019,233.58
16.09.2019,234.88
13.09.2019,232.5
12.09.2019,232.88
11.09.2019,235.07
10.09.2019,233
09.09.2019,234.85
06.09.2019,234.49
05.09.2019,236.18
04.09.2019,233.71
03.09.2019,231.02
02.09.2019,233.67
30.08.2019,232.15
29.08.2019,233.2
28.08.2019,228.48
27.08.2019,227
26.08.2019,228.9
23.08.2019,229.35
22.08.2019,232.06
21.08.2019,231.22
20.08.2019,231.54
19.08.2019,226.8
16.08.2019,224.71
15.08.2019,227.15
14.08.2019,227.1
13.08.2019,229.87
12.08.2019,230.24
09.08.2019,229.96
08.08.2019,231.21
07.08.2019,227.67
06.08.2019,226.76
05.08.2019,223.61
02.08.2019,227.91
01.08.2019,234.28
31.07.2019,236.9
30.07.2019,237.1
29.07.2019,236.73
26.07.2019,234.23
25.07.2019,219
24.07.2019,212
23.07.2019,217.39
22.07.2019,217.12
19.07.2019,216
18.07.2019,218.3
17.07.2019,220.19
16.07.2019,238.01
15.07.2019,240.3
12.07.2019,245.5
11.07.2019,247.2
10.07.2019,250.21
09.07.2019,250.17
08.07.2019,248.51
05.07.2019,250.89
04.07.2019,255.35
03.07.2019,251.6
02.07.2019,246.65
01.07.2019,245.5
28.06.2019,232.83
27.06.2019,232.6
26.06.2019,233.1
25.06.2019,232.09
24.06.2019,232.38
21.06.2019,229.09
20.06.2019,232.52
19.06.2019,232.46
18.06.2019,232.13
17.06.2019,229.81
14.06.2019,231.51
13.06.2019,234.44
11.06.2019,234.86
10.06.2019,232.1
07.06.2019,230.5
06.06.2019,231.45
05.06.2019,230.01
04.06.2019,230.16
03.06.2019,235.51
31.05.2019,215.1
30.05.2019,213.1
29.05.2019,207.14
28.05.2019,203.13
27.05.2019,206.2
24.05.2019,204.5
23.05.2019,208.86
22.05.2019,208.1
21.05.2019,207.8
20.05.2019,200.8
17.05.2019,198.89
16.05.2019,202.7
15.05.2019,195.61
14.05.2019,189.67
13.05.2019,163
10.05.2019,163.61
08.05.2019,163.57
07.05.2019,164.21
06.05.2019,165.45
03.05.2019,166.31
02.05.2019,165.71
30.04.2019,163.95
29.04.2019,163.93
26.04.2019,161
25.04.2019,159.31
24.04.2019,160.57
23.04.2019,162.42
22.04.2019,163.5
19.04.2019,162.57
18.04.2019,161.79
17.04.2019,164
16.04.2019,162.24
15.04.2019,158.33
12.04.2019,159.12
11.04.2019,158.04
10.04.2019,162.88
09.04.2019,162.7
08.04.2019,160.5
05.04.2019,158.6
04.04.2019,158.89
03.04.2019,156.99
02.04.2019,155
01.04.2019,154.53
29.03.2019,149.61
28.03.2019,149.98
27.03.2019,149.49
26.03.2019,151.12
25.03.2019,152.29
22.03.2019,152.29
21.03.2019,155.33
20.03.2019,156.09
19.03.2019,155.5
18.03.2019,155.84
15.03.2019,154.56
14.03.2019,152.68
13.03.2019,153.3
12.03.2019,151.64
11.03.2019,151.6
07.03.2019,151.9
06.03.2019,154.2
05.03.2019,153.2
04.03.2019,154.4
01.03.2019,156.71
28.02.2019,158.99
27.02.2019,156.4
26.02.2019,155.36
25.02.2019,154.6
22.02.2019,154.64
21.02.2019,153.5
20.02.2019,154.43
19.02.2019,154.03
18.02.2019,156.43
15.02.2019,159.04
14.02.2019,155.15
13.02.2019,159.27
12.02.2019,163.68
11.02.2019,161.29
08.02.2019,159.8
07.02.2019,160.39
06.02.2019,163.21
05.02.2019,164.25
04.02.2019,163.2
01.02.2019,163.33
31.01.2019,162.82
30.01.2019,165.4
29.01.2019,162.95
28.01.2019,160.56
25.01.2019,162.82
24.01.2019,160.9
23.01.2019,159.9
22.01.2019,158.5
21.01.2019,158.3
18.01.2019,159.2
17.01.2019,157.1
16.01.2019,156.9
15.01.2019,158.15
14.01.2019,160.48
11.01.2019,161
10.01.2019,160.2
09.01.2019,160.24
08.01.2019,158.26
04.01.2019,159.15
03.01.2019,156.28
29.12.2018,153.5
28.12.2018,153
27.12.2018,150.68
26.12.2018,148.41
25.12.2018,147.01
24.12.2018,149.73
21.12.2018,151.12
20.12.2018,152.27
19.12.2018,152.98
18.12.2018,151.89
17.12.2018,153.53
14.12.2018,155.4
13.12.2018,156.49
12.12.2018,155.79
11.12.2018,158.6
10.12.2018,161
07.12.2018,163
06.12.2018,160.62
05.12.2018,164.57
04.12.2018,164.2
03.12.2018,165.4
30.11.2018,161.29
29.11.2018,164.99
28.11.2018,165.58
27.11.2018,153.8
26.11.2018,149.53
23.11.2018,151.79
22.11.2018,153.91
21.11.2018,152.4
20.11.2018,151.51
19.11.2018,154.1
16.11.2018,153.16
15.11.2018,154.14
14.11.2018,151.85
13.11.2018,148.83
12.11.2018,150.89
09.11.2018,153.19
08.11.2018,157.51
07.11.2018,157.85
06.11.2018,156
02.11.2018,153.71
01.11.2018,153.5
31.10.2018,155.47
30.10.2018,151.3
29.10.2018,152.52
26.10.2018,152.5
25.10.2018,155.65
24.10.2018,154.7
23.10.2018,153.61
22.10.2018,155.7
19.10.2018,161.32
18.10.2018,160.18
17.10.2018,164.56
16.10.2018,165.99
15.10.2018,164
12.10.2018,167
11.10.2018,161.92
10.10.2018,166.2
09.10.2018,172.11
08.10.2018,171.81
05.10.2018,170.5
04.10.2018,168.5
03.10.2018,169.47
02.10.2018,162.59
01.10.2018,161.89
28.09.2018,162.61
27.09.2018,161.8
26.09.2018,159.27
25.09.2018,160.84
24.09.2018,159
21.09.2018,158.64
20.09.2018,154.35
19.09.2018,157.39
18.09.2018,157.08
17.09.2018,155.46
14.09.2018,152.15
13.09.2018,153.5
12.09.2018,155.05
11.09.2018,152.36
10.09.2018,150.75
07.09.2018,148.8
06.09.2018,147.06
05.09.2018,147.06
04.09.2018,147.4
03.09.2018,148.73
31.08.2018,149.95
30.08.2018,145.98
29.08.2018,147.88
28.08.2018,145.6
27.08.2018,144.52
24.08.2018,143.6
23.08.2018,141.5
22.08.2018,144.16
21.08.2018,143.3
20.08.2018,141.51
17.08.2018,141.01
16.08.2018,140.88
15.08.2018,141.5
14.08.2018,141.24
13.08.2018,142.9
10.08.2018,144.8
09.08.2018,145.2
08.08.2018,144.1
07.08.2018,142.74
06.08.2018,141.34
03.08.2018,142.39
02.08.2018,140.36
01.08.2018,142.14
31.07.2018,143.79
30.07.2018,138.9
27.07.2018,137.99
26.07.2018,138.18
25.07.2018,138.21
24.07.2018,138.85
23.07.2018,138.37
20.07.2018,136.47
19.07.2018,137.58
18.07.2018,138.29
17.07.2018,145.31
16.07.2018,147
13.07.2018,146.87
12.07.2018,145.08
11.07.2018,144.77
10.07.2018,147.3
09.07.2018,148
06.07.2018,144.96
05.07.2018,145.55
04.07.2018,142.24
03.07.2018,142.49
02.07.2018,144
29.06.2018,141.01
28.06.2018,138.76
27.06.2018,139
26.06.2018,138.07
25.06.2018,137.1
22.06.2018,136.76
21.06.2018,134.4
20.06.2018,136.91
19.06.2018,135.5
18.06.2018,136.52
15.06.2018,137.73
14.06.2018,139.4
13.06.2018,141
11.06.2018,142.28
09.06.2018,144.08
08.06.2018,143.05
07.06.2018,146.05
