Ex-Date,Dividend
26.12.2019,604.09
04.10.2019,883.93
20.06.2019,792.52
28.09.2018,776.02
16.07.2018,607.98
18.10.2017,224.2
22.06.2017,446.1
27.12.2016,444.25
20.06.2016,230.14
29.12.2015,321.95
24.09.2015,305.07
22.05.2015,670.04
19.12.2014,762.34
16.06.2014,248.48
31.10.2013,220.7
02.05.2013,400.83
25.05.2012,196
17.05.2011,180
24.05.2010,210
27.05.2008,112
14.11.2007,108
16.05.2007,120
05.10.2006,56
16.05.2006,53.5
14.11.2005,43
13.05.2005,28
10.11.2004,41.4
18.11.2003,42.1
15.05.2003,21.7
17.05.2002,23
