Date,PX_LAST
05.03.2020,20780
04.03.2020,20756
03.03.2020,20714
02.03.2020,20160
28.02.2020,20250
27.02.2020,21238
26.02.2020,21826
25.02.2020,21554
21.02.2020,22220
20.02.2020,22342
19.02.2020,22520
18.02.2020,21818
17.02.2020,21790
14.02.2020,21530
13.02.2020,21510
12.02.2020,21966
11.02.2020,21910
10.02.2020,21442
07.02.2020,21200
06.02.2020,21240
05.02.2020,21316
04.02.2020,20898
03.02.2020,20410
31.01.2020,20800
30.01.2020,20880
29.01.2020,21230
28.01.2020,21282
27.01.2020,21100
24.01.2020,21188
23.01.2020,21146
22.01.2020,21310
21.01.2020,21450
20.01.2020,21850
17.01.2020,21524
16.01.2020,20900
15.01.2020,20396
14.01.2020,20000
13.01.2020,20362
10.01.2020,19878
09.01.2020,19838
08.01.2020,19850
06.01.2020,19588
03.01.2020,19448
30.12.2019,19102
27.12.2019,19292
26.12.2019,19220
25.12.2019,19890
24.12.2019,19630
23.12.2019,19676
20.12.2019,19776
19.12.2019,19796
18.12.2019,19626
17.12.2019,19504
16.12.2019,19722
13.12.2019,19474
12.12.2019,18928
11.12.2019,18678
10.12.2019,18478
09.12.2019,18420
06.12.2019,18048
05.12.2019,17622
04.12.2019,17246
03.12.2019,17304
02.12.2019,17094
29.11.2019,17046
28.11.2019,17172
27.11.2019,17212
26.11.2019,17240
25.11.2019,17344
22.11.2019,17476
21.11.2019,17658
20.11.2019,17646
19.11.2019,17592
18.11.2019,17358
15.11.2019,17680
14.11.2019,17426
13.11.2019,17422
12.11.2019,17642
11.11.2019,18112
08.11.2019,18520
07.11.2019,18706
06.11.2019,18304
05.11.2019,18140
01.11.2019,18186
31.10.2019,17888
30.10.2019,18192
29.10.2019,17948
28.10.2019,17714
25.10.2019,17200
24.10.2019,17130
23.10.2019,16544
22.10.2019,16462
21.10.2019,16306
18.10.2019,16250
17.10.2019,16170
16.10.2019,16156
15.10.2019,16022
14.10.2019,15940
11.10.2019,16078
10.10.2019,16140
09.10.2019,16104
08.10.2019,16030
07.10.2019,16048
04.10.2019,15894
03.10.2019,16602
02.10.2019,16670
01.10.2019,16720
30.09.2019,16686
27.09.2019,16468
26.09.2019,16388
25.09.2019,16272
24.09.2019,16096
23.09.2019,16308
20.09.2019,16128
19.09.2019,15954
18.09.2019,16100
17.09.2019,15830
16.09.2019,15846
13.09.2019,15650
12.09.2019,15950
11.09.2019,16004
10.09.2019,15944
09.09.2019,15940
06.09.2019,16198
05.09.2019,16390
04.09.2019,16500
03.09.2019,16340
02.09.2019,16500
30.08.2019,16088
29.08.2019,15558
28.08.2019,15430
27.08.2019,15386
26.08.2019,15340
23.08.2019,15382
22.08.2019,15460
21.08.2019,15120
20.08.2019,15150
19.08.2019,14758
16.08.2019,14652
15.08.2019,14924
14.08.2019,14804
13.08.2019,14858
12.08.2019,15024
09.08.2019,14800
08.08.2019,15084
07.08.2019,14700
06.08.2019,14482
05.08.2019,14192
02.08.2019,14320
01.08.2019,14448
31.07.2019,14646
30.07.2019,14510
29.07.2019,14416
26.07.2019,14392
25.07.2019,14590
24.07.2019,14648
23.07.2019,14668
22.07.2019,14652
19.07.2019,14902
18.07.2019,14770
17.07.2019,14480
16.07.2019,14440
15.07.2019,14266
12.07.2019,14194
11.07.2019,14146
10.07.2019,14270
09.07.2019,14292
08.07.2019,14366
05.07.2019,14450
04.07.2019,14280
03.07.2019,14432
02.07.2019,14420
01.07.2019,14236
28.06.2019,14308
27.06.2019,14168
26.06.2019,14148
25.06.2019,14060
24.06.2019,14272
21.06.2019,14180
20.06.2019,14224
19.06.2019,14868
18.06.2019,14750
17.06.2019,14506
14.06.2019,14602
13.06.2019,14676
11.06.2019,14304
10.06.2019,13852
07.06.2019,13802
06.06.2019,13850
05.06.2019,13772
04.06.2019,13796
03.06.2019,13770
31.05.2019,13718
30.05.2019,13700
29.05.2019,13708
28.05.2019,13640
27.05.2019,13710
24.05.2019,13602
23.05.2019,13520
22.05.2019,13782
21.05.2019,13548
20.05.2019,13358
17.05.2019,13590
16.05.2019,13560
15.05.2019,13800
14.05.2019,13954
13.05.2019,13970
10.05.2019,13922
08.05.2019,14108
07.05.2019,14152
06.05.2019,14400
03.05.2019,14238
02.05.2019,14280
30.04.2019,14342
29.04.2019,14490
26.04.2019,14720
25.04.2019,14470
24.04.2019,14316
23.04.2019,14430
22.04.2019,14528
19.04.2019,14510
18.04.2019,14510
17.04.2019,14600
16.04.2019,14558
15.04.2019,14392
12.04.2019,14418
11.04.2019,14230
10.04.2019,14440
09.04.2019,14400
08.04.2019,14348
05.04.2019,14332
04.04.2019,14288
03.04.2019,14186
02.04.2019,14160
01.04.2019,13994
29.03.2019,13720
28.03.2019,13436
27.03.2019,13874
26.03.2019,14300
25.03.2019,14280
22.03.2019,14280
21.03.2019,14290
20.03.2019,14316
19.03.2019,14350
18.03.2019,14284
15.03.2019,14226
14.03.2019,13952
13.03.2019,13850
12.03.2019,14380
11.03.2019,14100
07.03.2019,14442
06.03.2019,14442
05.03.2019,13770
04.03.2019,13794
01.03.2019,14100
28.02.2019,14114
27.02.2019,14302
26.02.2019,14420
25.02.2019,14594
22.02.2019,14122
21.02.2019,14052
20.02.2019,14250
19.02.2019,13800
18.02.2019,13660
15.02.2019,13750
14.02.2019,13740
13.02.2019,13552
12.02.2019,13780
11.02.2019,13702
08.02.2019,13732
07.02.2019,13650
06.02.2019,13690
05.02.2019,13588
04.02.2019,13500
01.02.2019,13534
31.01.2019,13596
30.01.2019,13639
29.01.2019,13260
28.01.2019,13089
25.01.2019,13312
24.01.2019,13369
23.01.2019,13378
22.01.2019,13306
21.01.2019,13353
18.01.2019,13359
17.01.2019,13282
16.01.2019,13180
15.01.2019,13389
14.01.2019,13389
11.01.2019,13437
10.01.2019,13343
09.01.2019,13229
08.01.2019,13128
04.01.2019,13070
03.01.2019,12993
29.12.2018,13039
28.12.2018,13073
27.12.2018,12889
26.12.2018,12867
25.12.2018,12555
24.12.2018,12783
21.12.2018,13014
20.12.2018,13217
19.12.2018,13125
18.12.2018,13212
17.12.2018,13349
14.12.2018,13160
13.12.2018,13220
12.12.2018,12890
11.12.2018,12738
10.12.2018,12630
07.12.2018,12745
06.12.2018,12699
05.12.2018,12820
04.12.2018,12666
03.12.2018,12817
30.11.2018,12738
29.11.2018,12691
28.11.2018,12770
27.11.2018,12379
26.11.2018,11959
23.11.2018,11954
22.11.2018,11876
21.11.2018,11820
20.11.2018,11742
19.11.2018,11746
16.11.2018,11714
15.11.2018,11701
14.11.2018,11683
13.11.2018,11608
12.11.2018,11608
09.11.2018,11689
08.11.2018,11698
07.11.2018,11695
06.11.2018,11565
02.11.2018,11470
01.11.2018,11250
31.10.2018,11000
30.10.2018,10702
29.10.2018,10679
26.10.2018,10650
25.10.2018,10902
24.10.2018,11025
23.10.2018,11061
22.10.2018,11291
19.10.2018,11378
18.10.2018,11360
17.10.2018,11430
16.10.2018,11264
15.10.2018,11088
12.10.2018,11170
11.10.2018,11253
10.10.2018,11376
09.10.2018,11403
08.10.2018,11321
05.10.2018,11292
04.10.2018,11416
03.10.2018,11365
02.10.2018,11229
01.10.2018,11307
28.09.2018,11388
27.09.2018,11830
26.09.2018,11886
25.09.2018,11957
24.09.2018,11916
21.09.2018,12073
20.09.2018,11705
19.09.2018,11651
18.09.2018,11587
17.09.2018,11540
14.09.2018,11525
13.09.2018,11637
12.09.2018,11565
11.09.2018,11456
10.09.2018,11365
07.09.2018,11200
06.09.2018,11206
05.09.2018,11136
04.09.2018,11250
03.09.2018,11287
31.08.2018,11220
30.08.2018,11262
29.08.2018,11338
28.08.2018,11250
27.08.2018,11072
24.08.2018,11015
23.08.2018,10950
22.08.2018,11074
21.08.2018,10930
20.08.2018,10950
17.08.2018,10821
16.08.2018,10901
15.08.2018,11000
14.08.2018,10990
13.08.2018,11005
10.08.2018,10800
09.08.2018,10999
08.08.2018,10830
07.08.2018,10830
06.08.2018,10770
03.08.2018,10814
02.08.2018,10700
01.08.2018,10782
31.07.2018,10882
30.07.2018,10866
27.07.2018,10848
26.07.2018,10827
25.07.2018,10845
24.07.2018,10760
23.07.2018,10314
20.07.2018,10255
19.07.2018,10350
18.07.2018,10574
17.07.2018,10610
16.07.2018,10680
13.07.2018,11398
12.07.2018,11359
11.07.2018,11260
10.07.2018,11725
09.07.2018,11799
06.07.2018,11698
05.07.2018,11566
04.07.2018,11458
03.07.2018,11540
02.07.2018,11600
29.06.2018,11399
28.06.2018,11115
27.06.2018,11100
26.06.2018,11222
25.06.2018,11285
22.06.2018,11222
21.06.2018,11224
20.06.2018,11243
19.06.2018,11126
18.06.2018,11051
15.06.2018,11066
14.06.2018,11161
13.06.2018,11275
11.06.2018,11500
09.06.2018,11484
08.06.2018,11355
07.06.2018,11644
06.06.2018,11640
05.06.2018,11551
04.06.2018,11474
01.06.2018,11150
31.05.2018,11111
30.05.2018,11066
29.05.2018,11144
28.05.2018,11170
25.05.2018,11090
24.05.2018,10880
23.05.2018,10850
22.05.2018,10998
21.05.2018,10922
18.05.2018,10732
17.05.2018,10790
16.05.2018,10800
15.05.2018,10915
14.05.2018,10778
11.05.2018,10729
10.05.2018,10730
08.05.2018,11094
07.05.2018,11150
04.05.2018,10996
03.05.2018,10856
02.05.2018,11040
30.04.2018,10814
28.04.2018,10949
27.04.2018,10989
26.04.2018,10988
25.04.2018,10803
24.04.2018,10860
23.04.2018,10875
20.04.2018,10615
19.04.2018,10685
18.04.2018,10672
17.04.2018,10229
16.04.2018,9900
13.04.2018,10490
12.04.2018,10376
11.04.2018,9888
10.04.2018,9810
09.04.2018,9170
06.04.2018,10733
05.04.2018,10744
04.04.2018,10735
03.04.2018,10830
02.04.2018,10800
30.03.2018,10760
29.03.2018,10795
28.03.2018,10695
27.03.2018,10728
26.03.2018,10750
23.03.2018,10998
22.03.2018,11003
21.03.2018,10932
20.03.2018,10950
19.03.2018,10911
16.03.2018,10927
15.03.2018,10890
14.03.2018,10881
13.03.2018,11101
12.03.2018,11157
09.03.2018,11077
07.03.2018,11160
06.03.2018,11161
05.03.2018,11199
02.03.2018,11248
01.03.2018,11173
28.02.2018,11159
27.02.2018,11550
26.02.2018,11874
22.02.2018,11380
21.02.2018,11300
20.02.2018,11060
19.02.2018,11171
16.02.2018,10810
15.02.2018,11785
14.02.2018,11761
13.02.2018,11500
12.02.2018,11147
09.02.2018,11101
08.02.2018,11110
07.02.2018,11268
06.02.2018,11308
05.02.2018,11581
02.02.2018,11496
01.02.2018,11639
31.01.2018,11608
30.01.2018,11483
29.01.2018,11539
26.01.2018,11420
25.01.2018,11537
24.01.2018,11325
23.01.2018,11198
22.01.2018,11488
19.01.2018,11470
18.01.2018,11560
17.01.2018,11498
16.01.2018,11375
15.01.2018,11750
12.01.2018,11600
11.01.2018,11662
10.01.2018,11655
09.01.2018,11675
05.01.2018,11565
04.01.2018,11585
03.01.2018,11302
29.12.2017,10850
28.12.2017,10694
27.12.2017,10621
26.12.2017,10629
25.12.2017,10655
22.12.2017,10710
21.12.2017,10531
20.12.2017,10613
19.12.2017,10653
18.12.2017,10680
15.12.2017,10595
14.12.2017,10669
13.12.2017,10512
12.12.2017,10787
11.12.2017,10423
08.12.2017,10077
07.12.2017,10063
06.12.2017,10166
05.12.2017,10077
04.12.2017,10166
01.12.2017,10080
30.11.2017,9876
29.11.2017,10107
28.11.2017,10220
27.11.2017,10550
24.11.2017,10750
23.11.2017,10609
22.11.2017,10768
21.11.2017,10515
20.11.2017,10544
17.11.2017,10813
16.11.2017,11044
15.11.2017,10803
14.11.2017,11151
13.11.2017,11470
10.11.2017,11400
09.11.2017,11465
08.11.2017,11455
07.11.2017,11610
03.11.2017,11551
02.11.2017,11350
01.11.2017,11050
31.10.2017,10592
30.10.2017,10590
27.10.2017,10532
26.10.2017,10425
25.10.2017,10390
24.10.2017,10666
23.10.2017,10673
20.10.2017,10696
19.10.2017,10527
18.10.2017,10756
17.10.2017,10730
