"Date","PX_LAST","DIV","DIV_GAP","R"
2000-01-06,348.5,0,0,2.76381228201283
2000-01-10,388,0,0,10.7367109422695
2000-01-11,368.5,0,0,-5.15646279938822
2000-01-12,380,0,0,3.07305410910401
2000-01-13,384.15,0,0,1.08618485932124
2000-01-14,392,0,0,2.02287384768187
2000-01-17,378,0,0,-3.63676441708748
2000-01-18,360,0,0,-4.87901641694321
2000-01-19,350,0,0,-2.81708769666963
2000-01-20,364.5,0,0,4.05933969652534
2000-01-21,372.1,0,0,2.06360839038639
2000-01-24,351.05,0,0,-5.8233971889319
2000-01-25,337.02,0,0,-4.07863876908616
2000-01-26,342,0,0,1.46684612902089
2000-01-27,345,0,0,0.873367996875463
2000-01-28,332.8,0,0,-3.60027080843062
2000-01-31,315,0,0,-5.49690701214205
2000-02-01,315,0,0,0
2000-02-02,317.5,0,0,0.790517950711325
2000-02-03,326,0,0,2.64195630339613
2000-02-04,332.89,0,0,2.09147237123242
2000-02-07,329,0,0,-1.175435431366
2000-02-08,349,0,0,5.90141714370552
2000-02-09,347,0,0,-0.574714225556796
2000-02-10,344.8,0,0,-0.636024115732116
2000-02-11,340.5,0,0,-1.2549413199971
2000-02-14,340,0,0,-0.146950797935999
2000-02-15,321,0,0,-5.75044944801912
2000-02-16,320.8,0,0,-0.0623247137656368
2000-02-17,327,0,0,1.91422949048938
2000-02-18,320,0,0,-2.16391751034812
2000-02-21,315.7,0,0,-1.35286002298263
2000-02-22,320,0,0,1.35286002298264
2000-02-23,321,0,0,0.312012733624368
2000-02-24,325.5,0,0,1.3921338518608
2000-02-25,305,0,0,-6.50506850412123
2000-02-28,290.4,0,0,-4.90524936567707
2000-02-29,297.99,0,0,2.58006459447335
2000-03-01,315.5,0,0,5.70987530858935
2000-03-02,322.5,0,0,2.19444542545594
2000-03-03,332.9,0,0,3.17390083451521
2000-03-06,325,0,0,-2.40169622512417
2000-03-07,341.9,0,0,5.0693114315518
2000-03-09,365.5,0,0,6.67479825445776
2000-03-10,384.52,0,0,5.07295240077821
2000-03-13,360,0,0,-6.58917717474597
2000-03-14,388.3,0,0,7.5674205287466
2000-03-15,391,0,0,0.692932324774405
2000-03-16,394,0,0,0.764334931256807
2000-03-17,397,0,0,0.758537138925656
2000-03-20,390,0,0,-1.77895415634983
2000-03-21,374.21,0,0,-4.1329601963596
2000-03-22,396,0,0,5.65970740943845
2000-03-23,418.9,0,0,5.62180166985086
2000-03-24,451.3,0,0,7.45000788799665
2000-03-28,425.1,0,0,-5.9807871468211
2000-03-29,433.5,0,0,1.95673608558521
2000-03-30,407.06,0,0,-6.29312014958635
2000-03-31,443,0,0,8.46091753204026
2000-04-03,435.02,0,0,-1.81777630018678
2000-04-04,453,0,0,4.05001184397662
2000-04-05,421,0,0,-7.32592918006526
2000-04-06,445,0,0,5.54414484838588
2000-04-07,440.99,0,0,-0.905208271345405
2000-04-10,449.1,0,0,1.82233806409063
2000-04-11,434,0,0,-3.42010459932875
2000-04-12,438,0,0,0.917437627604123
2000-04-13,429,0,0,-2.07619914484291
2000-04-14,425,0,0,-0.936775000360016
2000-04-17,392,0,0,-8.08273291339543
2000-04-18,389.99,0,0,-0.514074202114819
2000-04-19,390,0,0,0.00256413543777997
2000-04-20,402.51,0,0,3.15732021467979
2000-04-21,398.51,0,0,-0.998734925218623
2000-04-24,388.44,3,-10.07,-1.79003450374357
2000-04-25,388.6,0,0,0.0411819217186493
2000-04-26,407.2,0,0,4.67539282929732
2000-04-27,408,0,0,0.196270916784869
2000-04-28,428.49,0,0,4.90002261384851
2000-05-03,434,0,0,1.27771335577581
2000-05-04,432.7,0,0,-0.299988686956576
2000-05-05,433,0,0,0.0693080771650746
2000-05-06,439,0,0,1.37616850726815
2000-05-10,431.5,0,0,-1.72319025516888
2000-05-11,427,0,0,-1.0483497294858
2000-05-12,423.5,0,0,-0.823049913651548
2000-05-15,415.51,0,0,-1.90468326975328
2000-05-16,436.5,0,0,4.92816938850807
2000-05-17,417.05,0,0,-4.5582256592036
2000-05-18,409,0,0,-1.94909626448191
2000-05-19,370,0,0,-10.0212150404532
2000-05-22,370.5,0,0,0.135043909787155
2000-05-23,352.5,0,0,-4.98028224838183
2000-05-24,341,0,0,-3.31681449688066
2000-05-25,375,0,0,9.5043548686894
2000-05-26,384,0,0,2.37165266173161
2000-05-29,380.5,0,0,-0.915637528598637
2000-05-30,380,0,0,-0.131492458130903
2000-05-31,387.49,0,0,1.95187892883652
2000-06-01,397,0,0,2.42462386783937
2000-06-02,410,0,0,3.2220879011163
2000-06-05,415,0,0,1.21213605323448
2000-06-06,397.5,0,0,-4.30835861363117
2000-06-07,398,0,0,0.125707119005111
2000-06-08,400,0,0,0.501254182354419
2000-06-13,392.5,0,0,-1.89280098855189
2000-06-14,385,0,0,-1.92932029346789
2000-06-15,385.01,0,0,0.00259736886548688
2000-06-16,392,0,0,1.79925318140235
2000-06-19,384.05,0,0,-2.04890873457716
2000-06-20,372.5,0,0,-3.05357146250768
2000-06-21,364,0,0,-2.30831701828736
2000-06-22,373,0,0,2.44245520070748
2000-06-23,377.5,0,0,1.19921490452638
2000-06-26,372,0,0,-1.46767144159328
2000-06-27,355,0,0,-4.67760647977307
2000-06-28,358.8,0,0,1.06473407092254
2000-06-29,340,0,0,-5.3819512574434
2000-06-30,357,0,0,4.87901641694321
2000-07-03,369,0,0,3.30608622608882
2000-07-04,375,0,0,1.61293819298837
2000-07-05,367,0,0,-2.15641779158405
2000-07-06,377.5,0,0,2.82087206345092
2000-07-07,379.9,0,0,0.633749150450047
2000-07-10,378,0,0,-0.501386457399209
2000-07-11,365,0,0,-3.49968420370962
2000-07-12,373.7,0,0,2.35559829089467
2000-07-13,370,0,0,-0.995033085316809
2000-07-14,368,0,0,-0.542006746933914
2000-07-17,371.9,0,0,1.05420627620933
2000-07-18,366.5,0,0,-1.46264796043181
2000-07-19,370,0,0,0.950448431156398
2000-07-20,372.2,0,0,0.592833856988019
2000-07-21,371,0,0,-0.322928160071521
2000-07-24,372,0,0,0.269179166571135
2000-07-25,371,0,0,-0.269179166571141
2000-07-26,371.5,0,0,0.13468015503788
2000-07-27,372,0,0,0.134499011533261
2000-07-28,377.98,0,0,1.59474298937449
