Ex-Date,Dividend
19.12.2019,192
08.07.2019,155
20.12.2018,95
10.07.2018,130
21.12.2017,85
07.07.2017,120
22.12.2016,75
11.07.2016,112
23.12.2015,65
13.07.2015,94
25.12.2014,60
14.07.2014,60
16.08.2013,50
14.05.2013,50
13.11.2012,40
14.05.2012,75
10.05.2011,59
11.05.2010,52
12.05.2009,50
12.05.2008,42
14.05.2007,38
12.05.2006,33
13.05.2005,28
11.05.2004,24
13.05.2003,19.5
12.05.2003,19.5
08.05.2002,15
14.05.2001,8
24.04.2000,3
14.05.1999,0.25
20.04.1998,0.22
06.01.1998,1000
07.04.1997,0.3
20.04.1996,0.5
20.04.1995,0.5
