Date,PX_LAST
05.03.2020,5862.5
04.03.2020,5908.5
03.03.2020,5782
02.03.2020,5550
28.02.2020,5699.5
27.02.2020,6000
26.02.2020,6256.5
25.02.2020,6165
21.02.2020,6450
20.02.2020,6543.5
19.02.2020,6509
18.02.2020,6378.5
17.02.2020,6463
14.02.2020,6451
13.02.2020,6470.5
12.02.2020,6466
11.02.2020,6397.5
10.02.2020,6410
07.02.2020,6450.5
06.02.2020,6506.5
05.02.2020,6550.5
04.02.2020,6500
03.02.2020,6594.5
31.01.2020,6550.5
30.01.2020,6443.5
29.01.2020,6633
28.01.2020,6650
27.01.2020,6545
24.01.2020,6620
23.01.2020,6590
22.01.2020,6655.5
21.01.2020,6708.5
20.01.2020,6717
17.01.2020,6685
16.01.2020,6590
15.01.2020,6552.5
14.01.2020,6520.5
13.01.2020,6530
10.01.2020,6490
09.01.2020,6430
08.01.2020,6496.5
06.01.2020,6382
03.01.2020,6294
30.12.2019,6169
27.12.2019,6150
26.12.2019,6085
25.12.2019,6081
24.12.2019,6080.5
23.12.2019,6082
20.12.2019,6079.5
19.12.2019,6079
18.12.2019,6250.5
17.12.2019,6226
16.12.2019,6190
13.12.2019,6168
12.12.2019,6136
11.12.2019,6110
10.12.2019,6095
09.12.2019,6182
06.12.2019,6220
05.12.2019,6121.5
04.12.2019,6073
03.12.2019,6040
02.12.2019,6159.5
29.11.2019,6137.5
28.11.2019,6120
27.11.2019,6065
26.11.2019,6060
25.11.2019,6103
22.11.2019,6120
21.11.2019,6087.5
20.11.2019,6084.5
19.11.2019,6090
18.11.2019,6077
15.11.2019,6161
14.11.2019,6084.5
13.11.2019,6050
12.11.2019,6033
11.11.2019,6048
08.11.2019,6040
07.11.2019,6133.5
06.11.2019,6140
05.11.2019,6008
01.11.2019,6021
31.10.2019,5919.5
30.10.2019,5850
29.10.2019,5820
28.10.2019,5916
25.10.2019,6117.5
24.10.2019,6150
23.10.2019,5976
22.10.2019,5860.5
21.10.2019,5768
18.10.2019,5720
17.10.2019,5715
16.10.2019,5710
15.10.2019,5601.5
14.10.2019,5450
11.10.2019,5425
10.10.2019,5318.5
09.10.2019,5304
08.10.2019,5320
07.10.2019,5367
04.10.2019,5335
03.10.2019,5362.5
02.10.2019,5410
01.10.2019,5530
30.09.2019,5387.5
27.09.2019,5405
26.09.2019,5387.5
25.09.2019,5343.5
24.09.2019,5337.5
23.09.2019,5420
20.09.2019,5489
19.09.2019,5391
18.09.2019,5467
17.09.2019,5472.5
16.09.2019,5559
13.09.2019,5377.5
12.09.2019,5429.5
11.09.2019,5540
10.09.2019,5476
09.09.2019,5500
06.09.2019,5526.5
05.09.2019,5524.5
04.09.2019,5450
03.09.2019,5419
02.09.2019,5475
30.08.2019,5379.5
29.08.2019,5356
28.08.2019,5195
27.08.2019,5086.5
26.08.2019,5115
23.08.2019,5183.5
22.08.2019,5275
21.08.2019,5278
20.08.2019,5326.5
19.08.2019,5240
16.08.2019,5000
15.08.2019,5023.5
14.08.2019,5106.5
13.08.2019,5276
12.08.2019,5320
09.08.2019,5287
08.08.2019,5268
07.08.2019,5210
06.08.2019,5234.5
05.08.2019,5139
02.08.2019,5130
01.08.2019,5220.5
31.07.2019,5226.5
30.07.2019,5105
29.07.2019,5094.5
26.07.2019,5075
25.07.2019,5096.5
24.07.2019,5134.5
23.07.2019,5202.5
22.07.2019,5165.5
19.07.2019,5200.5
18.07.2019,5166
17.07.2019,5206
16.07.2019,5190.5
15.07.2019,5178.5
12.07.2019,5263
11.07.2019,5270
10.07.2019,5365
09.07.2019,5374
08.07.2019,5357.5
05.07.2019,5460
04.07.2019,5464.5
03.07.2019,5345.5
02.07.2019,5372
01.07.2019,5378.5
28.06.2019,5305
27.06.2019,5380
26.06.2019,5358.5
25.06.2019,5309.5
24.06.2019,5270
21.06.2019,5338
20.06.2019,5320
19.06.2019,5245
18.06.2019,5230
17.06.2019,5190
14.06.2019,5178.5
13.06.2019,5210.5
11.06.2019,5237
10.06.2019,5181
07.06.2019,5133
06.06.2019,5156.5
05.06.2019,5103
04.06.2019,5170
03.06.2019,5254.5
31.05.2019,5268.5
30.05.2019,5230
29.05.2019,5240
28.05.2019,5100
27.05.2019,5220
24.05.2019,5240
23.05.2019,5275
22.05.2019,5317.5
21.05.2019,5300
20.05.2019,5172.5
17.05.2019,5260
16.05.2019,5200
15.05.2019,5000
14.05.2019,5188.5
13.05.2019,5350
10.05.2019,5290
08.05.2019,5331
