"Date","PX_LAST","DIV","DIV_GAP","R"
2000-01-06,1.267,0,0,3.94417320512966
2000-01-10,1.341,0,0,5.67637029605395
2000-01-11,1.217,0,0,-9.70267902941513
2000-01-12,1.265,0,0,3.86833081740932
2000-01-13,1.39,0,0,9.42316249631169
2000-01-14,1.499,0,0,7.54944719778605
2000-01-17,1.376,0,0,-8.56174796093089
2000-01-18,1.315,0,0,-4.5344073881424
2000-01-19,1.216,0,0,-7.82698820857525
2000-01-20,1.337,0,0,9.48615145758308
2000-01-21,1.366,0,0,2.14584630287923
2000-01-24,1.235,0,0,-10.0815791068658
2000-01-25,1.19,0,0,-3.71176629565026
2000-01-26,1.25,0,0,4.91902441907718
2000-01-27,1.325,0,0,5.82689081239758
2000-01-28,1.2,0,0,-9.90909026442309
2000-01-31,1.137,0,0,-5.39283420255556
2000-02-01,1.127,0,0,-0.883397971075975
2000-02-02,1.143,0,0,1.40971497550345
2000-02-03,1.209,0,0,5.6137186819982
2000-02-04,1.235,0,0,2.12773984472849
2000-02-07,1.236,0,0,0.0809388955558496
2000-02-08,1.303,0,0,5.2788939107209
2000-02-09,1.307,0,0,0.306513649937693
2000-02-10,1.3,0,0,-0.537017017459375
2000-02-11,1.3,0,0,0
2000-02-14,1.321,0,0,1.60247610726972
2000-02-15,1.27,0,0,-3.93721250696884
2000-02-16,1.335,0,0,4.99143913817129
2000-02-17,1.382,0,0,3.46004334932653
2000-02-18,1.372,0,0,-0.726219604178456
2000-02-21,1.354,0,0,-1.32063548136102
2000-02-22,1.37,0,0,1.17475653499502
2000-02-23,1.395,0,0,1.80836754332953
2000-02-24,1.43,0,0,2.47800289984869
2000-02-25,1.365,0,0,-4.65200156348928
2000-02-28,1.296,0,0,-5.187183070684
2000-02-29,1.348,0,0,3.93394145600323
2000-03-01,1.392,0,0,3.21195494221125
2000-03-02,1.369,0,0,-1.6661015605916
2000-03-03,1.409,0,0,2.87996866102314
2000-03-06,1.405,0,0,-0.284293013083409
2000-03-07,1.47,0,0,4.52250980049358
2000-03-09,1.536,0,0,4.39192339348356
2000-03-10,1.62,0,0,5.32445145188123
2000-03-13,1.525,0,0,-6.04317391849179
2000-03-14,1.567,0,0,2.71685533145089
2000-03-15,1.494,0,0,-4.77058766632582
2000-03-16,1.435,0,0,-4.02922374990411
2000-03-17,1.425,0,0,-0.699303549097064
2000-03-20,1.399,0,0,-1.84141180372697
2000-03-21,1.46,0,0,4.26787400369009
2000-03-22,1.51,0,0,3.3673215106588
2000-03-23,1.529,0,0,1.25042761200923
2000-03-24,1.522,0,0,-0.458866750743106
2000-03-28,1.395,0,0,-8.71308441661652
2000-03-29,1.44,0,0,3.17486983145803
2000-03-30,1.385,0,0,-3.89429739486074
2000-03-31,1.42,0,0,2.49567319738675
2000-04-03,1.385,0,0,-2.49567319738675
2000-04-04,1.521,0,0,9.36678736378538
2000-04-05,1.398,0,0,-8.43253694655372
2000-04-06,1.425,0,0,1.91291699089954
2000-04-07,1.416,0,0,-0.633581844908589
2000-04-10,1.55,0,0,9.04189356596273
2000-04-11,1.475,0,0,-4.95969411393721
2000-04-12,1.522,0,0,3.13672696477109
2000-04-13,1.513,0,0,-0.593082463327536
2000-04-14,1.502,0,0,-0.729688146427574
2000-04-17,1.38,0,0,-8.47140541728298
2000-04-18,1.385,0,0,0.361664047018851
2000-04-19,1.38,0,0,-0.361664047018855
2000-04-20,1.41,0,0,2.15062052209637
2000-04-21,1.44,0,0,2.10534091978323
2000-04-24,1.401,0,0,-2.74568462330392
2000-04-25,1.423,0,0,1.55810517528454
2000-04-26,1.48,0,0,3.92747686683083
2000-04-27,1.433,0,0,-3.22719389299888
2000-04-28,1.487,0,0,3.69905186319831
