Date,PX_LAST
05.03.2020,232.33
04.03.2020,235.27
03.03.2020,236.63
02.03.2020,228.17
28.02.2020,233.36
27.02.2020,242.88
26.02.2020,250.8
25.02.2020,245.19
21.02.2020,250.8
20.02.2020,250.15
19.02.2020,249.7
18.02.2020,249.2
17.02.2020,251.36
14.02.2020,251.75
13.02.2020,253.89
12.02.2020,254.5
11.02.2020,254.5
10.02.2020,252.26
07.02.2020,254.3
06.02.2020,252.11
05.02.2020,255.2
04.02.2020,255.4
03.02.2020,253.99
31.01.2020,252.2
30.01.2020,257.31
29.01.2020,259.94
28.01.2020,257.7
27.01.2020,255.32
24.01.2020,265.49
23.01.2020,263.73
22.01.2020,266.54
21.01.2020,268.06
20.01.2020,266.28
17.01.2020,262.5
16.01.2020,257.51
15.01.2020,256.31
14.01.2020,259.05
13.01.2020,262.4
10.01.2020,258.19
09.01.2020,257.99
08.01.2020,259.15
06.01.2020,253.9
03.01.2020,255
30.12.2019,254.75
27.12.2019,252.06
26.12.2019,248.24
25.12.2019,248.04
24.12.2019,248.67
23.12.2019,248.8
20.12.2019,244.71
19.12.2019,244
18.12.2019,246.2
17.12.2019,241.6
16.12.2019,241.45
13.12.2019,241.21
12.12.2019,241.05
11.12.2019,240.32
10.12.2019,237.91
09.12.2019,237.04
06.12.2019,235.14
05.12.2019,231.71
04.12.2019,231.59
03.12.2019,230.66
02.12.2019,233.77
29.11.2019,233.98
28.11.2019,235.2
27.11.2019,234.22
26.11.2019,235
25.11.2019,237.98
22.11.2019,238.13
21.11.2019,237.15
20.11.2019,237.78
19.11.2019,239.25
18.11.2019,237.45
15.11.2019,240
14.11.2019,237.5
13.11.2019,237.21
12.11.2019,239.87
11.11.2019,241.5
08.11.2019,240.17
07.11.2019,242.5
06.11.2019,239.02
05.11.2019,238.53
01.11.2019,236.4
31.10.2019,234.89
30.10.2019,239.51
29.10.2019,240.11
28.10.2019,237.03
25.10.2019,240
24.10.2019,242.78
23.10.2019,239.57
22.10.2019,239.77
21.10.2019,234.94
18.10.2019,235.55
17.10.2019,233.5
16.10.2019,231
15.10.2019,229.4
14.10.2019,228.4
11.10.2019,230.31
10.10.2019,228.5
09.10.2019,227.7
08.10.2019,226.03
07.10.2019,227.55
04.10.2019,222.76
03.10.2019,224.08
02.10.2019,223.5
01.10.2019,226.49
30.09.2019,227.71
27.09.2019,228.05
26.09.2019,229.09
25.09.2019,228.09
24.09.2019,227.5
23.09.2019,229.7
20.09.2019,232
19.09.2019,234.98
18.09.2019,235.3
17.09.2019,235.89
16.09.2019,235.32
13.09.2019,233
12.09.2019,234.57
11.09.2019,234.72
10.09.2019,233.3
09.09.2019,229
06.09.2019,229.02
05.09.2019,230.79
04.09.2019,227.1
03.09.2019,224
02.09.2019,226.68
30.08.2019,224.2
29.08.2019,221.5
28.08.2019,218.3
27.08.2019,217.89
26.08.2019,218.5
23.08.2019,219.5
22.08.2019,219.5
21.08.2019,218.62
20.08.2019,216
19.08.2019,217.4
16.08.2019,215.05
15.08.2019,214.59
14.08.2019,217.11
13.08.2019,223.18
12.08.2019,222.3
09.08.2019,220.67
08.08.2019,223.93
07.08.2019,222.25
06.08.2019,226.01
05.08.2019,222.24
02.08.2019,220.81
01.08.2019,229.5
31.07.2019,233.49
30.07.2019,236
29.07.2019,232.8
26.07.2019,230.55
25.07.2019,232.9
24.07.2019,230.65
23.07.2019,232.48
22.07.2019,230.35
19.07.2019,232.85
18.07.2019,234.78
17.07.2019,234.63
16.07.2019,234.75
15.07.2019,235.27
12.07.2019,237.02
11.07.2019,241.3
10.07.2019,243.76
09.07.2019,242.74
08.07.2019,243.3
05.07.2019,242.83
04.07.2019,242.82
03.07.2019,241.51
02.07.2019,241.2
01.07.2019,242.98
28.06.2019,238.55
27.06.2019,240.5
26.06.2019,240.59
25.06.2019,236.7
24.06.2019,239.09
21.06.2019,238.02
20.06.2019,244.1
19.06.2019,240.4
18.06.2019,241.8
17.06.2019,237.8
14.06.2019,238.8
13.06.2019,240.49
11.06.2019,235.89
10.06.2019,249
07.06.2019,248.28
06.06.2019,244.89
05.06.2019,239
04.06.2019,236
03.06.2019,239.95
31.05.2019,233.24
30.05.2019,232.75
29.05.2019,233.4
28.05.2019,233.19
27.05.2019,236
24.05.2019,234.45
23.05.2019,229.3
22.05.2019,235.86
21.05.2019,232.71
20.05.2019,226
17.05.2019,226.94
16.05.2019,228.19
15.05.2019,228.69
14.05.2019,227.88
13.05.2019,224.22
10.05.2019,227
08.05.2019,230
07.05.2019,231.49
06.05.2019,232.8
03.05.2019,232.52
02.05.2019,229.1
30.04.2019,225.17
29.04.2019,228.8
26.04.2019,223.18
25.04.2019,227.8
24.04.2019,236
23.04.2019,235.67
22.04.2019,235.41
19.04.2019,232.6
18.04.2019,232.79
17.04.2019,234.3
16.04.2019,233.24
15.04.2019,237.8
12.04.2019,239.5
11.04.2019,238.86
10.04.2019,243.68
09.04.2019,238
08.04.2019,232.3
05.04.2019,227.5
04.04.2019,221.8
03.04.2019,219.05
02.04.2019,218.23
01.04.2019,217.7
29.03.2019,214.42
28.03.2019,215.07
27.03.2019,214.1
26.03.2019,218
25.03.2019,214
22.03.2019,207.7
21.03.2019,210.61
20.03.2019,209.8
19.03.2019,207.7
18.03.2019,205.9
15.03.2019,203.55
14.03.2019,203.66
13.03.2019,206
12.03.2019,205.1
11.03.2019,205.25
07.03.2019,203.95
06.03.2019,205
05.03.2019,202.92
04.03.2019,205.5
01.03.2019,206.54
28.02.2019,207.8
27.02.2019,205.4
26.02.2019,205.8
25.02.2019,205.86
22.02.2019,205.25
21.02.2019,203.41
20.02.2019,206.89
19.02.2019,202.08
18.02.2019,204.19
15.02.2019,208
14.02.2019,204.43
13.02.2019,213.9
12.02.2019,219.1
11.02.2019,214
08.02.2019,210.43
07.02.2019,211.01
06.02.2019,216.59
05.02.2019,217.85
04.02.2019,215.5
01.02.2019,216.29
31.01.2019,217.9
30.01.2019,213.14
29.01.2019,213.61
28.01.2019,209.7
25.01.2019,212
24.01.2019,212.2
23.01.2019,210.4
22.01.2019,207.95
21.01.2019,207.17
18.01.2019,208.44
17.01.2019,203.32
16.01.2019,201.26
15.01.2019,198
14.01.2019,196.8
11.01.2019,196.8
10.01.2019,196.75
09.01.2019,197
08.01.2019,191.24
04.01.2019,190.99
03.01.2019,186.99
29.12.2018,186.3
28.12.2018,186.5
27.12.2018,185
26.12.2018,183.4
25.12.2018,183.3
24.12.2018,184.3
21.12.2018,186.79
20.12.2018,189.3
19.12.2018,188.85
18.12.2018,186.6
17.12.2018,182.3
14.12.2018,184.93
13.12.2018,189.17
12.12.2018,190.45
11.12.2018,192.57
10.12.2018,191.8
07.12.2018,195.01
06.12.2018,192.19
05.12.2018,196
04.12.2018,199
03.12.2018,200.3
30.11.2018,194
29.11.2018,195.76
28.11.2018,190.2
27.11.2018,191.03
26.11.2018,188.5
23.11.2018,197.3
22.11.2018,199.4
21.11.2018,197.5
20.11.2018,194.21
19.11.2018,197.99
16.11.2018,199.26
15.11.2018,200.15
14.11.2018,199.2
13.11.2018,196.56
12.11.2018,196.82
09.11.2018,195.75
08.11.2018,202.89
07.11.2018,201.9
06.11.2018,197.8
02.11.2018,192.6
01.11.2018,188.67
31.10.2018,189.8
30.10.2018,184.78
29.10.2018,185.59
26.10.2018,181
25.10.2018,186.71
24.10.2018,188.01
23.10.2018,181
22.10.2018,180.7
19.10.2018,183.8
18.10.2018,191
17.10.2018,194.05
16.10.2018,196.05
15.10.2018,190.92
12.10.2018,191.85
11.10.2018,185.27
10.10.2018,189.89
09.10.2018,191.25
08.10.2018,191.85
05.10.2018,187.2
04.10.2018,189.35
03.10.2018,198.3
02.10.2018,199.5
01.10.2018,204.2
28.09.2018,203.32
27.09.2018,204.1
26.09.2018,195.79
25.09.2018,195.55
24.09.2018,198.75
21.09.2018,193.44
20.09.2018,191.16
19.09.2018,193.9
18.09.2018,191.65
17.09.2018,188.11
14.09.2018,188.71
13.09.2018,183.5
12.09.2018,173.9
11.09.2018,169.36
10.09.2018,171.21
07.09.2018,174.9
06.09.2018,175
05.09.2018,178.46
04.09.2018,179.5
03.09.2018,181.21
31.08.2018,182
30.08.2018,178
29.08.2018,183.5
28.08.2018,182
27.08.2018,183.27
24.08.2018,180.39
23.08.2018,178.71
22.08.2018,187.8
21.08.2018,191.8
20.08.2018,191.2
17.08.2018,189.55
16.08.2018,191.6
15.08.2018,187.98
14.08.2018,192.76
13.08.2018,190
10.08.2018,186.15
09.08.2018,195.9
08.08.2018,193.2
07.08.2018,201.79
06.08.2018,203.9
03.08.2018,202.21
02.08.2018,206.6
01.08.2018,210.6
31.07.2018,214.86
30.07.2018,211.33
27.07.2018,208.9
26.07.2018,210
25.07.2018,213.7
24.07.2018,215.45
23.07.2018,208.42
20.07.2018,204.34
19.07.2018,207.5
18.07.2018,216.28
17.07.2018,222.5
16.07.2018,227.99
13.07.2018,229.85
12.07.2018,226.6
11.07.2018,227.57
10.07.2018,230.3
09.07.2018,230
06.07.2018,226.71
05.07.2018,224.54
04.07.2018,217.7
03.07.2018,218.45
02.07.2018,221.01
29.06.2018,218
28.06.2018,208.5
27.06.2018,207.95
26.06.2018,199.91
25.06.2018,202.51
22.06.2018,214.43
21.06.2018,210.4
20.06.2018,212.2
19.06.2018,206
18.06.2018,206.3
15.06.2018,209.36
14.06.2018,214
13.06.2018,215
11.06.2018,210.35
09.06.2018,212.6
08.06.2018,210.95
07.06.2018,216.41
06.06.2018,217.9
05.06.2018,215.56
04.06.2018,220
01.06.2018,220
31.05.2018,222.36
30.05.2018,221.01
29.05.2018,219
28.05.2018,220.9
25.05.2018,220
24.05.2018,222.01
23.05.2018,221
22.05.2018,225.6
21.05.2018,226.21
18.05.2018,222.2
17.05.2018,226.05
16.05.2018,229.8
15.05.2018,231.39
14.05.2018,237.8
11.05.2018,235.72
10.05.2018,233.7
08.05.2018,226.7
07.05.2018,229.86
04.05.2018,228.55
03.05.2018,228.03
02.05.2018,229.02
30.04.2018,226.99
28.04.2018,224.8
27.04.2018,223.91
26.04.2018,220.7
25.04.2018,220.45
24.04.2018,223
23.04.2018,223.25
20.04.2018,215.36
19.04.2018,213.45
18.04.2018,215.87
17.04.2018,207.5
16.04.2018,192.06
13.04.2018,204.7
12.04.2018,212.21
11.04.2018,208
10.04.2018,214.8
09.04.2018,213
06.04.2018,256.76
05.04.2018,262
04.04.2018,255.69
03.04.2018,251.6
02.04.2018,249.99
30.03.2018,253.57
29.03.2018,252.9
28.03.2018,251.5
27.03.2018,258
26.03.2018,255
23.03.2018,262
22.03.2018,265.5
21.03.2018,268.88
20.03.2018,257.15
19.03.2018,255
16.03.2018,256.15
15.03.2018,254.51
14.03.2018,262.5
13.03.2018,273.95
12.03.2018,274.3
09.03.2018,274.6
07.03.2018,274
06.03.2018,274.03
05.03.2018,277
02.03.2018,273
01.03.2018,275
28.02.2018,272.4
27.02.2018,278.21
26.02.2018,279.97
22.02.2018,277.49
21.02.2018,279.2
20.02.2018,267.22
19.02.2018,266.85
16.02.2018,266.99
15.02.2018,264.58
14.02.2018,262.03
13.02.2018,258.3
12.02.2018,255.05
09.02.2018,250.11
08.02.2018,253.19
07.02.2018,257.58
06.02.2018,258.94
05.02.2018,255.64
02.02.2018,257.32
01.02.2018,263.2
31.01.2018,264.5
30.01.2018,257.8
29.01.2018,250.48
26.01.2018,247
25.01.2018,250.64
24.01.2018,247.53
23.01.2018,244.4
22.01.2018,243.99
19.01.2018,242.45
18.01.2018,245.5
17.01.2018,239.82
16.01.2018,239.64
15.01.2018,238.85
12.01.2018,237.75
11.01.2018,239
10.01.2018,237.76
09.01.2018,240.4
05.01.2018,238.6
04.01.2018,238.8
03.01.2018,231.9
29.12.2017,225.2
28.12.2017,224.2
27.12.2017,226.98
26.12.2017,223.57
25.12.2017,223.3
22.12.2017,221.44
21.12.2017,223.6
20.12.2017,226
19.12.2017,224.1
18.12.2017,227.4
15.12.2017,226.53
14.12.2017,229.9
13.12.2017,221.8
12.12.2017,227.9
11.12.2017,227.69
08.12.2017,220.89
07.12.2017,219.81
06.12.2017,223.75
05.12.2017,223.91
04.12.2017,224.6
01.12.2017,221.5
30.11.2017,224.35
29.11.2017,228.2
28.11.2017,230
27.11.2017,226.76
24.11.2017,228
23.11.2017,225.56
22.11.2017,230.25
21.11.2017,231
20.11.2017,224.6
17.11.2017,225.65
16.11.2017,227.5
15.11.2017,225.95
14.11.2017,221.4
13.11.2017,216.61
10.11.2017,217.7
09.11.2017,220.05
08.11.2017,209.09
07.11.2017,205.96
03.11.2017,193.8
02.11.2017,193.85
01.11.2017,194.05
31.10.2017,193.8
30.10.2017,195
27.10.2017,196.05
26.10.2017,192.75
25.10.2017,192.04
24.10.2017,192.5
23.10.2017,192.34
20.10.2017,192.97
19.10.2017,192.2
18.10.2017,195.31
17.10.2017,197.2
16.10.2017,197.7
13.10.2017,196.48
12.10.2017,195.51
11.10.2017,195.83
10.10.2017,193.21
09.10.2017,194
06.10.2017,194.16
05.10.2017,193.74
04.10.2017,192.03
03.10.2017,192.5
02.10.2017,193
29.09.2017,192.33
28.09.2017,191.96
27.09.2017,193.7
26.09.2017,192.54
25.09.2017,191.2
22.09.2017,187.55
21.09.2017,187.38
20.09.2017,186.47
19.09.2017,184.85
18.09.2017,188.04
15.09.2017,188.75
14.09.2017,188.64
13.09.2017,189.1
12.09.2017,189.32
11.09.2017,190.5
08.09.2017,185.89
07.09.2017,184
06.09.2017,183.12
05.09.2017,184.14
04.09.2017,184.1
01.09.2017,183.66
31.08.2017,183.51
30.08.2017,183.5
29.08.2017,181.89
28.08.2017,181.85
25.08.2017,180.51
24.08.2017,179.8
23.08.2017,175.3
22.08.2017,171
21.08.2017,169.9
18.08.2017,169.5
17.08.2017,172.72
16.08.2017,173.05
15.08.2017,172.33
14.08.2017,172.51
11.08.2017,172.05
10.08.2017,172.2
09.08.2017,173.4
08.08.2017,175.75
07.08.2017,172.79
04.08.2017,169.73
03.08.2017,170
02.08.2017,169.9
01.08.2017,166.31
31.07.2017,164.53
28.07.2017,165.4
27.07.2017,166
26.07.2017,161.55
25.07.2017,160.22
24.07.2017,161.33
21.07.2017,162.1
20.07.2017,163.93
19.07.2017,164.34
18.07.2017,161.7
17.07.2017,161.98
14.07.2017,161.4
13.07.2017,159.94
12.07.2017,160.85
11.07.2017,156.91
10.07.2017,155
07.07.2017,152.16
06.07.2017,150.35
05.07.2017,148.96
04.07.2017,149.39
03.07.2017,147.5
30.06.2017,145.59
29.06.2017,143.8
28.06.2017,145.5
27.06.2017,147.1
26.06.2017,144.49
23.06.2017,144.1
22.06.2017,144.25
21.06.2017,143.49
20.06.2017,144.9
19.06.2017,145
16.06.2017,141.63
15.06.2017,139
14.06.2017,143
13.06.2017,146
09.06.2017,150.13
08.06.2017,151.93
07.06.2017,152.82
06.06.2017,152.8
05.06.2017,154.7
02.06.2017,157.14
01.06.2017,153
31.05.2017,155.93
30.05.2017,161.64
29.05.2017,163.9
26.05.2017,160.7
25.05.2017,164.05
24.05.2017,165.7
23.05.2017,166.31
22.05.2017,168.03
19.05.2017,168.87
18.05.2017,166.5
17.05.2017,169.24
16.05.2017,170.66
15.05.2017,171.35
12.05.2017,167.7
11.05.2017,169.97
10.05.2017,170.8
05.05.2017,165.8
04.05.2017,165.5
03.05.2017,164.71
02.05.2017,166.64
28.04.2017,165.2
27.04.2017,164.69
26.04.2017,165.05
25.04.2017,162.55
24.04.2017,162.5
21.04.2017,159.59
20.04.2017,158.21
19.04.2017,153.6
18.04.2017,153.4
17.04.2017,153.99
14.04.2017,149.24
13.04.2017,152
12.04.2017,150.28
11.04.2017,156
10.04.2017,155.2
07.04.2017,161.49
06.04.2017,167.49
05.04.2017,168.1
04.04.2017,163.5
03.04.2017,161.8
31.03.2017,159.8
30.03.2017,163.5
29.03.2017,163.22
28.03.2017,163.66
27.03.2017,162.69
24.03.2017,164.52
23.03.2017,164.15
22.03.2017,162.92
21.03.2017,162.98
20.03.2017,163.8
17.03.2017,161.15
16.03.2017,158.35
15.03.2017,156.2
14.03.2017,157.42
13.03.2017,158.92
10.03.2017,157.5
09.03.2017,156.2
07.03.2017,160.98
06.03.2017,162
03.03.2017,164.4
02.03.2017,163.4
01.03.2017,160
28.02.2017,156
27.02.2017,160.95
24.02.2017,165.51
22.02.2017,165.9
21.02.2017,167
20.02.2017,165.44
17.02.2017,165.49
16.02.2017,166.49
15.02.2017,163.5
14.02.2017,162.7
13.02.2017,164.7
10.02.2017,165.5
09.02.2017,168.8
08.02.2017,171.2
07.02.2017,173.47
06.02.2017,172.87
03.02.2017,173.8
02.02.2017,172.83
01.02.2017,173.9
31.01.2017,172.2
30.01.2017,174.6
27.01.2017,178.92
26.01.2017,173.79
25.01.2017,170.26
24.01.2017,170.25
23.01.2017,166.75
20.01.2017,167.49
19.01.2017,166.3
18.01.2017,165.24
17.01.2017,165.98
16.01.2017,164.66
13.01.2017,164.9
12.01.2017,168.27
11.01.2017,169.05
10.01.2017,171.6
09.01.2017,168.35
06.01.2017,170.69
05.01.2017,171.9
04.01.2017,175.95
03.01.2017,180.12
30.12.2016,173.25
29.12.2016,171.3
28.12.2016,170.1
27.12.2016,172.27
26.12.2016,171.97
23.12.2016,171.15
22.12.2016,170
21.12.2016,174.71
20.12.2016,175.9
19.12.2016,174.3
16.12.2016,173.9
15.12.2016,174.92
14.12.2016,173.7
13.12.2016,176.9
12.12.2016,175.4
09.12.2016,169.66
08.12.2016,168.98
07.12.2016,159.95
06.12.2016,159.35
05.12.2016,162.02
02.12.2016,159.4
01.12.2016,158.7
30.11.2016,158.7
29.11.2016,158.07
28.11.2016,159.4
25.11.2016,160.36
24.11.2016,161.15
23.11.2016,155.23
22.11.2016,155
21.11.2016,153
18.11.2016,150.05
17.11.2016,149.75
16.11.2016,149.94
15.11.2016,149.85
14.11.2016,150.4
11.11.2016,151.51
10.11.2016,153.36
09.11.2016,151.04
08.11.2016,146.11
07.11.2016,143.4
03.11.2016,142.75
02.11.2016,142.36
01.11.2016,145.85
31.10.2016,147.4
28.10.2016,149.2
27.10.2016,149.3
26.10.2016,150.67
25.10.2016,151.57
24.10.2016,149.15
21.10.2016,148.42
20.10.2016,148.26
19.10.2016,148.6
18.10.2016,147.74
17.10.2016,146.46
14.10.2016,146.73
13.10.2016,146.09
12.10.2016,149.2
11.10.2016,151.3
10.10.2016,151.27
07.10.2016,148.74
06.10.2016,148.9
05.10.2016,147.95
04.10.2016,148.1
03.10.2016,148.87
30.09.2016,145.34
29.09.2016,148.47
28.09.2016,147.18
27.09.2016,147.53
26.09.2016,149.1
23.09.2016,151.5
22.09.2016,154.18
21.09.2016,150.67
20.09.2016,149.3
19.09.2016,148.66
16.09.2016,147
15.09.2016,149.14
14.09.2016,150.86
13.09.2016,149.8
12.09.2016,151.43
09.09.2016,151.6
08.09.2016,153.45
07.09.2016,154.33
06.09.2016,150.64
05.09.2016,149.5
02.09.2016,146.88
01.09.2016,144.25
31.08.2016,143.5
30.08.2016,143.18
29.08.2016,143.55
26.08.2016,145.25
25.08.2016,142.84
24.08.2016,139.5
23.08.2016,140.35
22.08.2016,137.37
19.08.2016,135.8
18.08.2016,137
17.08.2016,138.44
16.08.2016,138.1
